"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"BUILT_BY";"COPYRIGHT";"CREATED_BY";"DESCRIPTION";"DIGI_KEY_PART_NUMBER";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SOURCELIBRARY";"SPICEMODEL";"SPICEPREFIX";"SPICETYPE";"VENDOR";
"C_IN3_2";"2.2uf x 2";"12101C225KAT2A";"CAPC3325X279N";"AVX 1210 Standard 2.2";"12101C225KAT2A";"https://www.arrow.com/en/products/12101c225kat2a/avx";"";"";"";"AVX 1210 Standard 2.2";"";"2.79mm";"";"AVX";"12101C225KAT2A";"";"581-12101C225KAT2A";"https://www.mouser.co.uk/ProductDetail/AVX/12101C225KAT2A?qs=sEn5VCT5Piadpj%252BmhssWtA%3D%3D";"";"";"";"";"";"";"";"";"";
"C_IN4";"2.2uf x 2";"12101C225KAT2A";"CAPC3325X279N";"AVX 1210 Standard 2.2";"12101C225KAT2A";"https://www.arrow.com/en/products/12101c225kat2a/avx";"";"";"";"AVX 1210 Standard 2.2";"";"2.79mm";"";"AVX";"12101C225KAT2A";"";"581-12101C225KAT2A";"https://www.mouser.co.uk/ProductDetail/AVX/12101C225KAT2A?qs=sEn5VCT5Piadpj%252BmhssWtA%3D%3D";"";"";"";"";"";"";"";"";"";
"C_IN5";"3.3n";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";
"C_IN6";"220n";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";
"C_IN7";"220n";"CC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"C";"";"";
"C_OUT1";"EEUFR1H151B";"EEUFR1H151B";"CAPPRD500W65D1000H1400";"Cap Aluminum Lytic 150uF 50V 20% (10 X 12.5mm) Radial 5mm 1170mA 6000h 105C Ammo";"";"";"";"";"";"Cap Aluminum Lytic 150uF 50V 20% (10 X 12.5mm) Radial 5mm 1170mA 6000h 105C Ammo";"";"14mm";"";"Panasonic";"EEUFR1H151B";"";"";"";"";"";"";"";"";"";"";"";"";
"C_OUT2";"GRM32ER7YA106KA12K";"GRM32ER7YA106KA12K";"CAPC3225X270N";"Multilayer Ceramic Capacitors MLCC - SMD/SMT";"GRM32ER7YA106KA12K";"https://www.arrow.com/en/products/grm32er7ya106ka12k/murata-manufacturing";"";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT";"";"2.7mm";"";"Murata Electronics";"GRM32ER7YA106KA12K";"";"81-GRM32ER7YA106KA2K";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-GRM32ER7YA106KA2K";"";"";"";"";"";"";"";"";"";
"C_OUT2_2";"GRM32ER7YA106KA12K";"GRM32ER7YA106KA12K";"CAPC3225X270N";"Multilayer Ceramic Capacitors MLCC - SMD/SMT";"GRM32ER7YA106KA12K";"https://www.arrow.com/en/products/grm32er7ya106ka12k/murata-manufacturing";"";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT";"";"2.7mm";"";"Murata Electronics";"GRM32ER7YA106KA12K";"";"81-GRM32ER7YA106KA2K";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-GRM32ER7YA106KA2K";"";"";"";"";"";"";"";"";"";
"C_OUT3";"GRM32ER7YA106KA12K";"GRM32ER7YA106KA12K";"CAPC3225X270N";"Multilayer Ceramic Capacitors MLCC - SMD/SMT";"GRM32ER7YA106KA12K";"https://www.arrow.com/en/products/grm32er7ya106ka12k/murata-manufacturing";"";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT";"";"2.7mm";"";"Murata Electronics";"GRM32ER7YA106KA12K";"";"81-GRM32ER7YA106KA2K";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-GRM32ER7YA106KA2K";"";"";"";"";"";"";"";"";"";
"C_OUT3_2";"GRM32ER7YA106KA12K";"GRM32ER7YA106KA12K";"CAPC3225X270N";"Multilayer Ceramic Capacitors MLCC - SMD/SMT";"GRM32ER7YA106KA12K";"https://www.arrow.com/en/products/grm32er7ya106ka12k/murata-manufacturing";"";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT";"";"2.7mm";"";"Murata Electronics";"GRM32ER7YA106KA12K";"";"81-GRM32ER7YA106KA2K";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-GRM32ER7YA106KA2K";"";"";"";"";"";"";"";"";"";
